source,target
ಪೂತಜಾತಿ,ಜಾಜಿ
ಸಂಪಗೆಯೆ,ಸಂಪಗೆ
ಕುಕಿಲ್ವ,ಮಧುರವಾದ
ತುಂಬಿಯೆ,ದುಂಬಿಯೆ
ನಗೆ,ನಗುವಿಕೆ ಪರಿಹಾಸ
ನಂದನವನ,ಇಂದ್ರನ ಉದ್ಯಾನ ಚೆಲುವಾದ ಉದ್ಯಾನ
ನಲ್ಲರ,ಪ್ರಿಯಕರ
ಮೊಗಂ,ಮುಖ
ನಲ್ಲರೆ,ಪ್ರೇಯಸಿಯರು
ಅಂಚಲ,ಅಂಚು ಸೆರಗು
ಅಂಚಳ,ಅಂಚು ಸೆರಗು
ಅಂಚಿತ,ಅಲಂಕೃತ
ಅಂಚಿರ,ಅಸ್ಥಿರ ಚಂಚಲ
ಅಂಚೆ,ವಸ್ತ್ರ ಹಂಸ ಕೊನೆಯ ಭಾಗ
ಅಂಚೆದೇರ,ಹಂಸವಾಹನ ಬ್ರಹ್ಮ
ಅಂಚೆವಾಳತಿ,ಬಾಣಂತಿ ಹಂಸ
ಅಂಚೆವೀಡು,ಹಂಸದಹಿಂಡು
ಅಂಜನದಿಕ್,ಪಶ್ಚಿಮ
ಅಂಜನವಣ್ಣ,ಕಾಡಿಗೆಯ ಬಣ್ಣ ಕಪ್ಪು ಬಣ್ಣ
ಅಂಜನಸಿದ್ಧ,ಅಂಜನ ಹಚ್ಚಿಕೊಂಡು ಅದ್ಭುತ ಕೆಲಸ ಮಾಡುವವನು
ಅಂಜನಿಸು,ತಿರಸ್ಕರಿಸು
ಅಂಜನೆ,ಹನುಮಂತನತಾಯಿ ಒಂದುನರಕದಹೆಸರು
ಅಂಜಮೆ,ಅಂಜಿಕೆ
ಅಂಜಮೆಗುಡು,ಹೆದರಿಕೆಯನ್ನು ಹೋಗಲಾಡಿಸು
ಅಂಜಲಿ,ಬೊಗಸೆ
ಅಂಜಿಕೆ,ಹೆದರಿಕೆ
ಅಂಜಿಸು,ಹೆದರಿಸು
ಅಂಜು,ಹೆದರು ಭಯಪಡು
ಅಂಜುಳಿ,ಅಂಜಲಿ ಬೊಗಸೆ
ಅಂಟಿಸುಂಟಿ,ಒಂದು ಬೈಗುಳ
ಅಂಟಿಸು,ಸೇರಿಸು
ಅಂಟು,ಮುಟ್ಟು ಜತೆಗೂಡು
ಅಂಟುಗೊಳ್,ಅಂಟಿಕೊ ನಾಟು
ಅಂಡಲೆ,ಪೀಡಿಸು ಆಸನ್ನಪೀಡನ ಕೋಟಲೆ
ಅಂಡುಗೊಳ್,ಹತ್ತಿರ ಹೋಗು ಆಶ್ರಯಿಸು
ಅಂತಂಬರಂ,ಅಂತಂ ವರಂ ಕೊನೆಯವರೆಗೆ
ಅಂತಃಕ್ರಿಯೆ,ಒಳಗಿನಕೆಲಸ
ಅಂತಃಪಾತಿ,ಒಳಗೆಬೀಳುವ
ಅಂತಃಸ್ಫಾರಿತ,ಒಳಗೇವಿಕಾಸಗೊಂಡ
ಅಂತಕ,ಯಮ
ಅಂತಕವೈರಿ,ಯಮನಶತ್ರು ಶಿವ
ಅಂತಪ್ಪ,ಅಂತಹ ಹಾಗಿರುವ
ಅಂತರ,ವ್ಯತ್ಯಾಸ ಭೇದ ನಡುವಣ ರಂಧ್ರ ಮೇರೆ ಎಲ್ಲೆ ಮುಕ್ತಿಗೆ ಯಾರೂ ಸಲ್ಲದಕಾಲ
ಅಂತರಂಗ,ಮನಸ್ಸು
ಅಂತರಸ್ಥ,ಒಳಗಿರುವ
ಅಂತರಾಂತರ,ನಡುನಡುವೆ
ಅಂತರಾಯ,ಅಡ್ಡಿ
ಅಂತರಿತ,ಬೇರ್ಪಡಿಸಲ್ಪಟ್ಟ
ಅಂತರೀಯ,ಉಡುಪು ಸೊಂಟದ ಕೆಳಗೆ ಉಡುವವಸ್ತ್ರ
ಅಂತರ್ಗತ,ಒಳಕ್ಕೆಹೋದ
ಅಂತರ್ದೃಷ್ಟಿ,ತನ್ನಒಳಗನ್ನುಪರಿಶೀಲಿಸಿಕೊಳ್ಳುವದೃಷ್ಟಿ
ಅಂತರ್ದ್ವೀಪ,ದ್ವೀಪದ ಒಳಭಾಗ
ಅಂತರ್ಧಿ,ಅಡಗಿಕೊಳ್ಳುವುದು ಅಂತರ್ಧಾನ
ಅಂತರ್ಬಹಿರೂಪ,ಒಳಗಿನ ಮತ್ತು ಹೊರಗಿನ ಆಕಾರ
ಅಂತರ್ಭೇದ,ಒಳಗಿನ ಭೇದ ಭಿನ್ನಾಭಿಪ್ರಾಯ ಅಂತಃಕಲಹ
ಅಂತರ್ಭ್ರಮ,ತೊಳಲಾಟ
ಅಂತರ್ಮಂಡಲಸಾಧನ,ಒಳದೇಶವನ್ನು ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವ ಕಾರ್ಯ
ಅಂತರ್ಮಲಿನ,ಒಳಗೆ ಕಲ್ಮಶವುಳ್ಳ
ಅಂತರ್ಮುಖ,ಒಳಮುಖವಾದಮನಸ್ಸು
ಅಂತರ್ಮುಖತೆ,ಆತ್ಮಚಿಂತನೆಮಾಡುವುದು
ಅಂತರ್ಲೀನ,ಒಳಗೆ ಲೀನವಾದ
ಅತರ್ಲೇಪ,ಅಂತರಂಗಕ್ಕೆ ಅಂಟಿಕೊಂಡಿರುವುದು
ಅಂತರ್ವಂಶಿಕ,ಬಂಧುಜನ
ಅಂತರ್ವಣ,ಕಾಡಿನ ಮಧ್ಯದಲ್ಲಿರುವ
ಅಂತರ್ವತ್ನಿ,ಬಸುರಿ ಹೆಂಗಸು
ಅಂತರ್ವಾಂಶಿಕ,ವ್ಯಾಯಾಮಶಾಲೆಯ ಮುಖ್ಯಸ್ಥ
ಅಂತವಾಸ,ಊರಿನ ಹತ್ತಿರದ ಶಿಬಿರ
ಅಂತವುರ,ಆಂತಃಪುರ
ಅಂತಶ್ಶೂನ್ಯ,ಮನಸ್ಸು ಶೂನ್ಯವಾಗಿರುವ
ಅಂತಸ್ತಮಃಪಟ,ಒಳಗಿನ ಕತ್ತಲೆಯ ತೆರೆ
ಅಂತಱಿಂ,ಆದ್ದರಿಂದ
ಅಂತಱಿಂದಂ,ಆದ್ದರಿಂದ
ಅಂತಱಿಂದೆ,ಆದ್ದರಿಂದ
ಅಂತಿರೆ,ಆ ಪ್ರಕಾರವಾಗಿ
ಅಂತುಟು,ಅಷ್ಟು ಹಾಗೆ
ಅಂತೆ,ಹಾಗೆ ಆ ರೀತಿಯಲ್ಲಿ
ಅಂತೆಗೆಯ್,ಹಾಗೆ ಮಾಡು
ಅಂತೇವಾಸಿ,ಶಿಷ್ಯ ಚಂಡಾಲ
ಅಂತ್ಯೇಷ್ಟಿ,ಉತ್ತರಕ್ರಿಯೆ
ಅಂತ್ರ,ಕರುಳು
ಅಂದ,ಚೆಲುವು ರೀತಿ
ಅಂದಂಗೊಳಿಸು,ಅಂದಂಗೊಳಿಸು
ಅಂದಂಬಡೆ,ಸುಂದರವಾಗು
ಅಂದಂಬೆಱು,ಅಂದಂಬಡೆ
ಅಂದಣ,ಕಣ್ಣಿನ ಪೊರೆ
ಅಂದಳ,ಪಲ್ಲಕ್ಕಿ ಮೇನೆ
ಅಂದಳಣ,ಪಲ್ಲಕ್ಕಿ ಮೇನೆ
ಅಂದಳಸತ್ತಿಗೆ,ಪಲ್ಲಕ್ಕಿ ಮತ್ತು ಛತ್ರಿ
ಅಂದು,ಆ ಸಂದರ್ಭದಲ್ಲಿ
ಅಂದುಗೆ,ಅಂದಿಗೆ ನೂಪುರ ಕಾಲ್ಗಡಗ
ಅಂಧಕದ್ವಿಷ,ಅಂಧಕನ ಶತ್ರು ಈಶ್ವರ
ಅಂಧತಮಸ,ದಟ್ಟ ಕತ್ತಲೆ
ಅಂಧಯಷ್ಟಿ,ಕುರುಡನ ಊರೆಗೋಲು
ಅಂಧರಾಣ್ನಂದನ,ಅಂಧನಮಗ ದುರ್ಯೋಧನ
ಅಂಧಲಾವುಕನ್ಯಾಯ,ಕುರುಡನಿಗೆ ಲಾವಿಗೆ ಸಿಕ್ಕಿದಂತಹ ಆಕಸ್ಮಿಕ ಘಟನೆ
ಅಂಬರ,ಆಕಾಶ
ಅಂಬರಮಣಿ,ಸೂರ್ಯ
ಅಂಬರಶಿರೋರುಹ,ವ್ಯೋಮಕೇಶ ಶಿವ
ಅಂಬರಾಂಬರವಿಲಾಸ,ದಿಗಂಬರ ಸನ್ಯಾಸ
ಅಂಬಲಿ,ಹಿಟ್ಟಿನಿಂದ ಮಾಡಿದ ಗಂಜಿ
ಅಂಬರೀಷ,ಬಾಂಡಲಿ
ಅಂಬಿಗ,ಬೆಸ್ತ ದೋಣಿ ನಡೆಸುವವನು
ಅಂಬಿಯ,ಅಂಬಿಗ
ಅಂಬಿರಿವಿಟ್ಟು ಪಾಯ್,ಪ್ರವಾಹವಾಗಿ ಹರಿ
ಅಂಬಿರಿವಿಡು,ಧಾರೆಯಾಗಿ ಸುರಿ
ಅಂಬು,ನೀರು ಬಾಣ ಒಣಗು
ಅಂಬುಕುಕ್ಕುಟ,ನೀರ್ಕೋಳಿ
ಅಂಬುಖಾತಿಕೆ,ನೀರು ತುಂಬಿದ ಕಂದಕ
ಅಂಬುಚರ,ಮೀನು
ಅಂಬುಜಮಿತ್ರಜೆ,ಯಮುನಾ ನದಿ
ಅಂಬುಜವಿಷ್ಟರ,ಬ್ರಹ್ಮ
ಅಂಬುಣ್,ನೀರ ಹುಣ್ಣು
ಅಂಬುದ,ಮೋಡ
ಅಂಬುದನಿನದ,ಅಂಬುದಧ್ವನಿ
ಅಂಬುದನಿವಹ,ಮೋಡಗಳ ಸಮೂಹ
ಅಂಬುದಫಲ,ಆಲಿಕಲ್ಲು
ಅಂಬುದಮಾರ್ಗ,ಮೋಡಗಳ ದಾರಿ ಆಕಾಸ
ಅಂಬುದರವ,ಗುಡುಗು
ಅಂಬುದರ್ತು,ಅಂಬುದ ಋತು ಮಳೆಗಾಲ
ಅಂಬುದಸಮಯ,ಅಂಬುದರ್ತು
ಅಂಬುದಾಗಮ,ಮೋಡಗಳು ಆಗಮಿಸುವ ಕಾಲ ಮಳೆಗಾಲ
ಅಂಬುಧರ,ಮೋಡ
ಅಂಬುಧರಕಾಲ,ಮಳೆಗಾಲ
ಅಂಬುರುಹಗರ್ಭ,ಬ್ರಹ್ಮ
ಅಂಬುರುಹಸಖ,ಸೂರ್ಯ
ಅಂಬುರುಹೇಕ್ಷಣೆ,ಕಮಲನಯನೆ
ಅಂಬುವೀಡಿನೆಡೆ,ಒಂದು ಬಾಣ ಹೋಗುವಷ್ಟು ದೂರ
ಅಂಬೂದ್ಭೂತ,ಅಂಬುಜ ಕಮಲ
ಅಂಬೆಗಲಿಸು,ಅಂಬೆಗಾಲಿಡು
ಅಂಭಃಕಣ,ನೀರಿನ ಹನಿ
ಅಂಭಃಕರಿ,ನೀರಾನೆ
ಅಂಭಃಕುಂಭಿ,ನೀರಾನೆ
ಅಂಭಃಕುಂಭೀನ,ನೀರಾನೆ
ಅಂಭಃಪೂರ,ನೀರಿನ ಪ್ರವಾಹ
ಅಂಭಃಪ್ಲವ,ಅಂಭಃಪೂರ
ಅಂಭಶ್ಚರ,ಮೊಸಳೆ
ಅಂಭೋಜಷಂಡ,ಕಮಲದ ಗುಂಪು ಕೊಳ
ಅಂಭೋದಕಾಲ,ಮಳೆಗಾಲ
ಅಂಭೋದಪಥ,ಆಕಾಶ
ಅಂಭೋದಸ್ವನ,ಗುಡುಗು
ಅಂಭೋಧಿಪಥ,ಸಮುದ್ರಮಾರ್ಗ
ಅಂಭೋನಿಧಿ,ಸಮುದ್ರ
ಅಂಭೋರುಹ,ಕಮಲ
ಅಂಭೋಲವ,ನೀರನ ಕಣ
ಅಂಶ,ಭಾಗ
ಅಂಶಜ,ದೇವತೆಯ ಅಂಶದಿಂದ ಹುಟ್ಟಿದವನು
ಅಂಶು,ಕಿರಣ ಮೊನೆ ತುದಿ ಅಲಂಕಾರ ಉಡುಪು ವೇಗ
ಅಂಶುಕ,ಬಿಳಿಯ ಬಟ್ಟೆ ಎಲೆ ಕಿರಣ
ಅಂಶುಧರ,ಸೂರ್ಯ
ಅಂಶುಪತಿ,ಸೂರ್ಯ
ಅಂಶುಮತ್ತನಯ,ಸೂರ್ಯನ ಮಗ ಕರ್ಣ
ಅಂಶುಮಾಲಿ,ಅಂಶುಧರ
ಅಂಶುಶೂತ,ತಂಪಾದ ಕಿರಣ
ಅಂಸ,ಹೆಗಲು ಭುಜ ಶಿರಸ್ಸು
ಅಂಹಃ,ಪಾಪ ಕೊರತೆ ಕಷ್ಟ
ಅಕಂಪಿತಶರೀರ,ನಡುಗದ ಮೈಯುಳ್ಳ
ಅಕರ್ತೃಕ,ಕರ್ತೃವಿಲ್ಲದ ಸೃಷ್ಟಿಸಿದವನಿಲ್ಲದ
ಅಕಾಂಡತಾಂಡವ,ಪಾಂಡಿತ್ಯದ ಅನವಶ್ಯಕ ಪ್ರದರ್ಶನ
ಅಕಾಮಿಕ,ಇಚ್ಛೆಯಿಲ್ಲದ ವ್ಯಕ್ತಿ
ಅಕಾರಣಂ,ಕಾರಣವಿಲ್ಲದೆ
ಅಕಿಂಚಿತ್ಕರ,ಏನನ್ನೂ ಮಾಡದ
ಅಕೀರ್ತಿ,ಕೆಟ್ಟ ಹೆಸರು
ಅಕುಲ,ಹೀನವಂಶ
ಅಕುಲೀನೆ,ಹೀನಕುಲದಲ್ಲಿ ಜನಿಸಿದವಳು
ಅಕೂಪಾಬಾರ,ಸಮುದ್ರ ದೊಡ್ಡ ಆಮೆ ಸೂರ್ಯ ಬಂಡೆ
ಅಕೂಪಾರ,ಸಮುದ್ರ ದೊಡ್ಡ ಆಮೆ ಸೂರ್ಯ ಬಂಡೆ
ಅಕೃತ್ಯ,ಕೆಟ್ಟ ಕೆಲಸ
ಅಕೃಷ್ಟಪಚ್ಯ,ಬೇಸಾಯವಿಲ್ಲದೆ ಬೆಳೆ ಕೊಡುವ ಭೂಮಿ
ಅಕೃಷ್ಟಕರ್ಮ,ಕಳಂಕವಿಲ್ಲದ ಕೆಲಸ ಕೆಟ್ಟ ಕೆಲಸವನ್ನು ಮಾಡದವನು
ಅಕ್ಕಜ,ಬೆರಗು ವಿಸ್ಮಯ ಪ್ರೀತಿ
ಅಕ್ಕಜಂಬೊರೆ,ಆಶ್ಚರ್ಯದಿಂದ ಕೂಡು
ಅಕ್ಕಟಿಕೆ,ಉತ್ಕಟವಾದ ಆಸೆ
ಅಕ್ಕರ,ವಿದ್ಯೆ ಬರವಣಿಗೆ
ಅಕ್ಕರಗೊಟ್ಟಿ,ವಿದ್ವಾಂಸರ ಮೇಳ
ಅಕ್ಕರಿಗ,ವಿದ್ವಾಂಸ ಸಾಕ್ಷರ
ಅಕ್ಕಸಾಲೆ,ಚಿನ್ನ ಬೆಳ್ಳಿ ಕೆಲಸ ಮಾಡುವವನು
ಅಕ್ಕಱುಗಂಪು,ಹಿತಕರವಾದ ಸುಗಂಧ
ಅಕ್ಕಿಸು,ಜೀರ್ಣಿಸು
ಅಕ್ಕುಳಿಸು,ಹೊಟ್ಟೆಯನ್ನು ಕುಗ್ಗಿಸು ಹೆದರು
ಅಕ್ಕೆ,ಅೞ್ಕೆ ದುಃಖ
ಅಕ್ಕುಲಿಸು,ಹೊಟ್ಟೆಯನ್ನು ಕುಗ್ಗಿಸು ಹೆದರು
ಅಕ್ಷ,ಪಗಡೆ ಆಟದ ದಾಳ ರಥದ ಅಚ್ಚು ಜೂಜು ರಥ ಜಪಮಣಿ ಇಂದ್ರಿಯ
ಅಕ್ಷಕ್ರೀಡೆ,ಪಗಡೆ ಆಟ
ಅಕ್ಷತ,ಕೊರತೆಯಿಲ್ಲದ
ಅಕ್ಷತರೂಸಂಪನ್ನೆ,ಕುಂದಿಲ್ಲದ ರೂಪವಂತೆ
ಅಕ್ಷದ್ಯೂತಕೇಳಿ,ಪಗಡೆ ಜೂಜಿನಾಟ
ಅಕ್ಷಧೂರ್ತ,ಜೂಜಿನಲ್ಲಿ ಮೋಸಮಾಡುವವನು
ಅಕ್ಷಫಲ,ತಾರೆಯ ಕಾಯಿ
ಅಕ್ಷಮ,ಕ್ಷಮೆಯಿಲ್ಲದ ಅಸಮರ್ಥ
ಅಕ್ಷಮಣಿ,ಜಪಸರದ ಮಣಿ
ಅಕ್ಷಮಾಲಿಕೆ,ಜಪಸರ
ಅಕ್ಷಮಾಲೆ,ಜಪಸರ
ಅಕ್ಷಯತೃತೀಯೆ,ಅಕ್ಕತದಿಗೆ ಶ್ರೇಯಾಂಸನು ಆದಿ ತೀರ್ಥಂಕರನಿಗೆ ಅಹಾರದಾನ ಮಾಡಿದಪುಣ್ಯದಿನ
ಅಕ್ಷಯಬೋಧ,ನಾಶವಿಲ್ಲದಜ್ಞಾನ ತೀರ್ಥಂಕರ
ಅಕ್ಷಯಸಮಯ,ನಿರಂತರ ಕಾಲ
ಅಕ್ಷಯಸೌಖ್ಯ,ನಿರಂತರ ಸುಖ
ಅಕ್ಷರಕೇವಲಿ,ಒಂದು ವಿದ್ಯೆ
ಅಕ್ಷರರೇಖೆ,ಬರಹ
ಅಕ್ಷರವೃತ್ತಿ,ಪದದಲ್ಲಿರುವ ಅಕ್ಷರಗಳ ಸಂಖ್ಯೆ
ಅಕ್ಷರಾತ್ಮಕ,ಅಕ್ಷರಗಳಿಂದ ಕೂಡಿದ
ಅಕ್ಷವಲಯ,ಜಪಸರ
ಅಕ್ಷವಲಳ,ಜಪಸರ
ಅಕ್ಷಸೂತ್ರ,ಜಪಸರ
ಅಕ್ಷಾವಲಿ,ಜಪಸರ
ಅಕ್ಷಿಕರ್ಣ,ಕಣ್ಣೇ ಕಿವಿಯಾಗಿರುವ ಪ್ರಾಣಿ ಹಾವು
ಅಕ್ಷಿತಾರಕ,ಕಣ್ಣಿನ ಪಾಪೆ
ಅಕ್ಷಿಪಕ್ಷ್ಮ ಮ,ಕಣ್ಣ ರೆಪ್ಪೆ
ಅಕ್ಷೀಣ,ಶುಭ
ಅಕ್ಷುಣ್ಣ,ತುಳಿಯದ ಮುರಿಯದ
ಅಕ್ಷೂಣ,ಕಡಿಮೆಯಿಲ್ಲದ ಬಲಿಷ್ಠ
ಅಖಂಡಸುಖ,ನಿರಂತರಸುಖ
ಅಖಂಡಿತಂ,ಕತ್ತರಿಸದ ಪೂರ್ಣವಾದ
ಅಖರ್ವ,ಕುಳ್ಳಲ್ಲದ ಮಹತ್ತಾದ
ಅಖಲ್ಯ,ಹೇಡಿ ಅಪ್ರಯೋಜಕ
ಅಗ,ಬೆಟ್ಟ
ಅಗಚೂಡ,ಬೆಟ್ಟದಶಿಖರ
ಅಗಡು,ತುಂಟತನ ದುಷ್ಟತನ
ಅಗಧರ,ಬೆಟ್ಟವನ್ನುಎತ್ತಿದವನು ಕೃಷ್ಣ ವಿಷ್ಣು
ಅಗಪಡು,ಒಳಗೆಸಿಗು ಸಿಕ್ಕಿಹಾಕಿಕೊ
ಅಗರ್ಹಿತ,ನಿಂದ್ಯವಲ್ಲದ
ಅಗಲ್,ಬಿಟ್ಟುಹೋಗು ತೊರೆದುಹೋಗು ಊಟದ ತಟ್ಟೆ ತಳಿಗೆ
ಅಗಲು,ಹರವಾಗಿ
ಅಗಲಂಬೆಱು,ಹರಹನ್ನುಪಡೆ ವಿಶಾಲವಾಗು
ಅಗಲಿತ್ತು,ಅಗಲವಾದ
ಅಗಲಿತು,ಅಗಲವಾದ
ಅಗಲಿಸು,ಬೇರೆ ಮಾಡು
ಅಗಲುರ,ಹರವಾದಎದೆ
ಅಗಲೆ,ಅಗಲವಾಗುವಂತೆ ದೂರಾಗುವಂತೆ
ಅಗಲೆತ್ತು,ಊಟದ ತಟ್ಟೆಯನ್ನು ಎತ್ತಿಕೊ
ಅಗಲ್ಕೆಗಿಚ್ಚು,ವಿಯೋಗದಬೆಂಕಿ ವಿರಹಜ್ವಾಲೆ
ಅಗಲ್ಕೆವೆಱು,ವಿಯೋಗಹೊಂದು
ಅಗಲ್ಚು,ಅಗಲಿಸು ನಿವಾರಿಸು ಅಗಲಗೊಳಿಸು ಅಗಲಿಕೆ
ಅಗಲ್ತರ್,ದೂರಹೋಗು ಅಗಲು
ಅಗವಡು,ಒಳಗೆ ಬೀಳು ಸೆರೆಸಿಕ್ಕು ನೋವನ್ನು ಪಡೆ
ಅಗಸೆ,ಒಂದು ಮರ ಒಂದು ಬಗೆಯ ಗಿಡ
ಅಗಸೆವೂಗೊಂಬು,ಅಗಸೆಯ ಹೂವಿನಂತಹ ಕೊಂಬು
ಅಗೞ್ತೆ,ತೋಡುವುದು ಅಗೆತ ಕಂದಕ
ಅಗಿ,ಹೆದರು ಕುಗ್ಗು ಹಲ್ಲಿನಿಂದಅರೆ ಅಲುಗಾಡು ನಡುಕ
ಅಗಿನಿ,ಕಿಚ್ಚು
ಅಗಿಬಿಗಿ,ಸಡಗರ ಸಂಭ್ರಮ
ಅಗಿಲ್,ಸುಗಂಧದಮರ ಸುಗಂಧದ್ರವ್ಯ
ಅಗುಂತಿ,ಆಧಿಕ್ಯ ಅತಿಶಯತೆ
ಅಗುಂದಲೆ,ಅತಿಶಯ ಶ್ರೇಷ್ಠ
ಅಗುಂದಲೆಮಾಡು,ಹೆಚ್ಚಿಸು
ಅಗುಂದಲೆವಡೆ,ಅಧಿಕವಾಗು
ಅಗುಂದಲೆವೋಗು,ಅಧಿಕವಾಗಿಹೋಗು
ಅಗುಂಬಿಸು,ರಾಶಿಮಾಡು
ಅಗುರ್,ಸಾಹಸತೋರು ಆಕ್ರಮಣಮಾಡು
ಅಗುರು,ಅಗೆಲ್ ಹಗುರವಾದ
ಅಗುರ್ಚು,ಸೇರಿಸು ಒತ್ತು
ಅಗುರ್ವಿಸು,ಭಯಪಡಿಸು ಹೆದರು ನಡುಗು ಅತಿಶಯವಾಗು
